job,operation,machine,start,end,duration,energy
6,2,2,0.0,4.2,4.2,1.5
5,2,2,4.2,8.4,4.2,1.5
3,2,2,8.4,12.600000000000001,4.200000000000001,1.5
1,2,2,12.600000000000001,16.8,4.199999999999999,1.5
3,3,4,12.600000000000001,19.3,6.699999999999999,1.7
2,3,4,19.3,26.0,6.699999999999999,1.7
6,1,3,4.2,6.7,2.5,3.5
3,1,1,19.3,22.8,3.5,1.2
2,1,3,26.0,28.5,2.5,3.5
6,4,2,16.8,22.1,5.300000000000001,3.3
5,4,1,22.8,27.6,4.800000000000001,7.8
4,4,2,22.1,27.400000000000002,5.300000000000001,3.3
3,4,3,28.5,32.3,3.799999999999997,8.8
1,4,2,27.400000000000002,32.7,5.300000000000001,3.3
6,5,4,26.0,29.6,3.6000000000000014,3.6
4,5,1,27.6,31.400000000000002,3.8000000000000007,1.9
3,5,4,32.3,35.9,3.6000000000000014,3.6
2,5,1,31.400000000000002,35.2,3.8000000000000007,1.9
1,5,2,32.7,36.1,3.3999999999999986,5.9
