job,operation,machine,start,end,duration,energy
6,2,4,0.0,9.0,9.0,3.5
5,2,2,0.0,4.2,4.2,1.5
3,2,2,4.2,8.4,4.2,1.5
1,2,2,8.4,12.600000000000001,4.200000000000001,1.5
3,3,4,9.0,15.7,6.699999999999999,1.7
2,3,4,15.7,22.4,6.699999999999999,1.7
6,1,3,9.0,11.5,2.5,3.5
3,1,1,15.7,19.2,3.5,1.2
2,1,3,22.4,24.9,2.5,3.5
6,4,2,12.600000000000001,17.900000000000002,5.300000000000001,3.3
5,4,1,19.2,24.0,4.800000000000001,7.8
4,4,2,17.900000000000002,23.200000000000003,5.300000000000001,3.3
3,4,3,24.9,28.7,3.8000000000000007,8.8
1,4,2,23.200000000000003,28.500000000000004,5.300000000000001,3.3
6,5,4,22.4,26.0,3.6000000000000014,3.6
4,5,1,24.0,27.8,3.8000000000000007,1.9
3,5,4,28.7,32.3,3.599999999999998,3.6
2,5,1,27.8,31.6,3.8000000000000007,1.9
1,5,2,28.500000000000004,31.900000000000002,3.3999999999999986,5.9
