job,operation,machine,start,end,duration,energy
6,4,1,0.0,4.8,4.8,7.8
5,4,3,0.0,3.8,3.8,8.8
4,4,2,0.0,5.3,5.3,3.3
3,4,4,0.0,4.7,4.7,9.7
1,4,4,4.7,9.4,4.7,9.7
6,2,3,4.8,12.399999999999999,7.599999999999999,6.6
5,2,1,4.8,10.3,5.500000000000001,7.5
3,2,2,5.3,9.5,4.2,1.5
1,2,2,9.5,13.7,4.199999999999999,1.5
6,5,2,13.7,17.099999999999998,3.3999999999999986,5.9
4,5,1,10.3,14.100000000000001,3.8000000000000007,1.9
3,5,4,9.5,13.1,3.5999999999999996,3.6
2,5,1,14.100000000000001,17.900000000000002,3.8000000000000007,1.9
1,5,1,17.900000000000002,21.700000000000003,3.8000000000000007,1.9
3,3,4,13.1,19.8,6.700000000000001,1.7
2,3,2,17.900000000000002,25.200000000000003,7.300000000000001,5.3
6,1,4,19.8,28.0,8.2,4.2
3,1,1,21.700000000000003,25.200000000000003,3.5,1.2
2,1,1,25.200000000000003,28.700000000000003,3.5,1.2
