job,operation,machine,start,end,duration,energy
3,1,3,0.0,2.5,2.5,3.5
6,1,1,0.0,3.5,3.5,1.2
2,1,1,3.5,7.0,3.5,1.2
1,2,3,2.5,10.1,7.6,6.6
5,2,4,0.0,9.0,9.0,3.5
4,4,4,9.0,13.7,4.699999999999999,9.7
3,2,2,2.5,6.7,4.2,1.5
6,2,2,6.7,10.9,4.2,1.5
2,3,4,13.7,20.4,6.699999999999999,1.7
1,4,1,10.1,14.899999999999999,4.799999999999999,7.8
5,4,2,10.9,16.2,5.299999999999999,3.3
4,5,4,20.4,24.0,3.6000000000000014,3.6
3,3,3,10.1,15.6,5.5,8.5
6,4,2,16.2,21.5,5.300000000000001,3.3
2,5,1,20.4,24.2,3.8000000000000007,1.9
1,5,4,24.0,27.6,3.6000000000000014,3.6
3,4,2,21.5,26.8,5.300000000000001,3.3
6,5,1,24.2,28.0,3.8000000000000007,1.9
3,5,1,28.0,31.8,3.8000000000000007,1.9
