policy,generation,mean,std,min,max
FIFO,20,4994.035933333331,1624.1059998455335,2213.597999999998,7834.251999999991
FIFO,40,5015.936333333331,1744.7386637957425,2166.4399999999982,7834.251999999991
FIFO,60,5028.8663333333325,1775.8147272793274,2166.4399999999982,7940.857999999997
FIFO,80,5144.472066666664,1792.8778638551278,2166.4399999999982,9390.348
FIFO,100,5103.714533333332,1724.1265910842258,2166.4399999999982,9390.348
LTP,20,9047.942399999998,1632.8011194923815,5034.719999999995,11605.475999999997
LTP,40,8870.765466666662,1641.799941660773,5034.719999999995,11534.18
LTP,60,8955.704999999996,1749.3718459029992,5034.719999999995,12590.525999999996
LTP,80,8977.696999999996,1747.614360951962,5034.719999999995,12590.525999999996
LTP,100,9022.980599999997,1728.2491885747763,5034.719999999995,12590.525999999996
STP,20,8873.183533333333,1241.9194311285191,6270.703999999995,10688.289999999999
STP,40,8904.0816,1206.918083664936,6270.703999999995,10720.201999999997
STP,60,8882.082933333333,1217.4538985744236,6270.703999999995,10720.201999999997
STP,80,9122.1748,1391.8536150179586,6270.703999999995,12838.651999999995
STP,100,9138.306266666665,1325.3774061073805,6270.703999999995,11594.207999999999
