job,operation,machine,start,end,duration,energy
9,8,8,0.0,3.3,3.3,2.2
7,8,3,0.0,2.6,2.6,1.7
4,8,3,2.6,5.2,2.6,1.7
3,8,4,0.0,5.7,5.7,4.6
1,8,3,5.2,7.800000000000001,2.6000000000000005,1.7
8,6,8,3.3,7.8,4.5,4.9
7,6,8,7.8,12.3,4.500000000000001,4.9
4,6,9,5.2,11.9,6.7,7.0
3,6,10,5.7,11.0,5.3,3.5
1,6,4,7.800000000000001,12.9,5.1,7.3
9,2,2,3.3,6.5,3.2,1.8
7,2,2,12.3,15.5,3.1999999999999993,1.8
5,2,1,0.0,6.5,6.5,5.5
3,2,8,12.3,16.0,3.6999999999999993,2.9
2,2,5,0.0,5.9,5.9,7.6
10,4,4,12.9,16.2,3.299999999999999,2.1
8,4,6,7.8,10.3,2.500000000000001,1.4
5,4,4,16.2,19.5,3.3000000000000007,2.1
3,4,7,16.0,20.1,4.100000000000001,5.9
2,4,4,19.5,22.8,3.3000000000000007,2.1
9,3,1,6.5,9.8,3.3000000000000007,1.3
6,3,6,10.3,18.0,7.699999999999999,6.5
3,3,8,20.1,24.3,4.199999999999999,5.8
1,3,5,12.9,15.0,2.0999999999999996,3.2
10,7,3,16.2,20.099999999999998,3.8999999999999986,4.9
6,7,7,20.1,23.3,3.1999999999999993,1.2
4,7,8,24.3,31.200000000000003,6.900000000000002,7.5
3,7,7,24.3,27.5,3.1999999999999993,1.2
2,7,3,22.8,26.7,3.8999999999999986,4.9
10,1,10,20.099999999999998,24.9,4.800000000000001,4.1
8,1,10,24.9,29.7,4.800000000000001,4.1
5,1,3,26.7,29.7,3.0,4.5
3,1,10,29.7,34.5,4.800000000000001,4.1
1,1,3,29.7,32.7,3.0000000000000036,4.5
9,5,9,11.9,14.0,2.0999999999999996,1.5
8,5,8,31.200000000000003,36.400000000000006,5.200000000000003,4.1
6,5,5,23.3,27.1,3.8000000000000007,2.7
4,5,8,36.400000000000006,41.60000000000001,5.200000000000003,4.1
3,5,10,34.5,41.9,7.399999999999999,6.8
2,5,5,27.1,30.900000000000002,3.8000000000000007,2.7
