job,operation,machine,start,end,duration,energy
1,1,7,0.0,2.9,2.9,3.8
2,2,2,0.0,3.2,3.2,1.8
3,1,1,0.0,4.2,4.2,2.1
4,5,3,0.0,5.5,5.5,3.8
5,1,5,0.0,4.5,4.5,1.9
6,3,7,2.9,8.5,5.6,4.7
7,2,9,0.0,6.2,6.2,6.7
8,1,5,4.5,9.0,4.5,1.9
9,2,10,0.0,9.1,9.1,8.3
10,1,4,0.0,7.2,7.2,6.2
1,3,1,4.2,7.5,3.3,1.3
2,4,3,5.5,12.3,6.800000000000001,7.7
3,2,2,4.2,7.4,3.2,1.8
4,6,3,12.3,20.5,8.2,6.4
5,2,2,7.4,10.600000000000001,3.200000000000001,1.8
6,5,9,8.5,10.6,2.0999999999999996,1.5
7,6,7,8.5,17.5,9.0,8.6
8,4,1,9.0,14.7,5.699999999999999,9.4
9,3,7,17.5,23.1,5.600000000000001,4.7
10,4,4,7.2,10.5,3.3,2.1
1,6,10,9.1,14.399999999999999,5.299999999999999,3.5
2,5,3,20.5,26.0,5.5,3.8
3,3,9,10.6,19.5,8.9,9.1
4,7,10,20.5,23.3,2.8000000000000007,4.9
5,4,9,19.5,23.3,3.8000000000000007,4.8
6,7,2,10.600000000000001,18.400000000000002,7.800000000000001,2.5
7,8,5,17.5,22.4,4.899999999999999,6.0
8,5,5,22.4,26.2,3.8000000000000007,2.7
9,5,5,26.2,30.0,3.8000000000000007,2.7
10,7,2,18.400000000000002,26.200000000000003,7.800000000000001,2.5
1,8,2,26.200000000000003,30.6,4.399999999999999,5.3
2,7,7,26.0,29.2,3.1999999999999993,1.2
3,4,4,19.5,22.8,3.3000000000000007,2.1
4,8,5,30.0,34.9,4.899999999999999,6.0
8,6,6,26.2,30.099999999999998,3.8999999999999986,2.8
9,8,8,30.0,33.3,3.299999999999997,2.2
3,5,9,23.3,25.400000000000002,2.1000000000000014,1.5
3,6,3,26.0,34.2,8.200000000000003,6.4
3,7,7,34.2,37.400000000000006,3.200000000000003,1.2
3,8,10,37.400000000000006,43.400000000000006,6.0,7.1
