job,operation,machine,start,end,duration,energy
1,1,8,0.0,8.0,8.0,9.5
3,1,1,0.0,4.2,4.2,2.1
5,1,10,0.0,4.8,4.8,4.1
8,1,5,0.0,4.5,4.5,1.9
10,1,7,0.0,2.9,2.9,3.8
2,7,7,2.9,6.1,3.1999999999999997,1.2
3,7,3,4.2,8.1,3.8999999999999995,4.9
4,7,8,8.0,14.9,6.9,7.5
6,7,2,0.0,7.8,7.8,2.5
10,7,4,2.9,11.3,8.4,9.2
2,5,5,6.1,9.899999999999999,3.799999999999999,2.7
3,5,10,8.1,15.5,7.4,6.8
4,5,10,15.5,22.9,7.399999999999999,6.8
6,5,2,7.8,10.5,2.7,6.9
8,5,5,9.899999999999999,13.7,3.8000000000000007,2.7
9,5,2,10.5,13.2,2.6999999999999993,6.9
1,3,10,22.9,26.4,3.5,2.6
2,4,6,9.899999999999999,12.399999999999999,2.5,1.4
3,3,1,15.5,18.8,3.3000000000000007,1.3
3,4,7,18.8,22.9,4.099999999999998,5.9
5,4,3,8.1,14.899999999999999,6.799999999999999,7.7
6,3,2,13.2,21.7,8.5,7.2
8,4,2,21.7,26.6,4.900000000000002,3.5
9,3,1,18.8,22.1,3.3000000000000007,1.3
10,4,4,11.3,14.600000000000001,3.3000000000000007,2.1
2,2,2,26.6,29.8,3.1999999999999993,1.8
3,2,4,22.9,25.7,2.8000000000000007,3.4
5,2,6,14.899999999999999,19.299999999999997,4.399999999999999,4.2
7,2,7,22.9,31.2,8.3,8.1
9,2,7,31.2,39.5,8.3,8.1
1,8,3,26.4,29.0,2.6000000000000014,1.7
3,8,3,29.0,31.6,2.6000000000000014,1.7
4,8,3,31.6,34.2,2.6000000000000014,1.7
7,8,8,31.2,34.5,3.3000000000000007,2.2
9,8,2,39.5,43.9,4.399999999999999,5.3
1,6,8,34.5,39.0,4.5,4.9
3,6,1,31.6,34.5,2.8999999999999986,3.1
4,6,1,34.5,37.4,2.8999999999999986,3.1
7,6,5,34.5,41.9,7.399999999999999,5.2
8,6,3,34.2,42.400000000000006,8.200000000000003,6.4
