generation,policy,min,max,mean,std
20,FIFO,17493.264000000006,34233.866,22737.998266666676,4219.320349892501
20,LTP,31648.392000000043,49539.808000000034,40522.042800000025,4900.296330589992
20,STP,28404.908000000007,49079.59200000006,38548.00373333336,4902.281680921319
20,RRFIFO,27071.81600000003,45009.28400000001,38453.841933333344,4807.731608657129
20,RRLTP,31999.012000000024,45489.68200000002,39426.91840000001,3885.200065767677
20,RRECA,24830.25199999997,48602.15400000004,38242.37733333334,4686.04383055938
40,FIFO,17439.552000000018,31542.04600000001,22640.04566666668,3780.9602138158853
40,LTP,32186.882000000027,48859.84600000003,40462.85900000002,3994.8059509179207
40,STP,28404.908000000007,46070.49400000004,38505.88280000002,4386.605775192532
40,RRFIFO,27071.81600000003,47727.818000000014,38767.74833333334,4952.585670924094
40,RRLTP,32237.016000000014,50224.67999999999,39425.29586666668,4118.7973356866805
40,RRECA,24985.77599999996,47566.23400000004,38289.29740000002,4705.665255980639
60,FIFO,17493.264000000006,38340.542,22767.329466666673,4418.220291556011
60,LTP,32186.882000000027,47800.276,40736.06913333335,4140.786260117064
60,STP,28430.580000000013,45725.808000000034,38962.87273333336,4301.1314803356745
60,RRFIFO,27071.81600000003,48816.734000000004,39270.88700000001,5219.97622609349
60,RRLTP,32438.130000000023,51929.716000000015,40007.729866666676,4684.822579778916
60,RRECA,24985.77599999996,45042.368000000024,38159.700800000006,4346.153209451347
80,FIFO,16693.88800000002,36659.087999999996,23025.80060000001,4243.620750489563
80,LTP,32186.882000000027,48631.82999999999,41223.99980000002,4301.8505251287415
80,STP,28430.580000000013,48121.196000000054,39371.186533333355,4974.677825869146
80,RRFIFO,27071.81600000003,47782.89000000003,39676.39080000001,5053.4997092285375
80,RRLTP,32438.130000000023,56725.82600000002,40563.11486666668,5203.962310158231
80,RRECA,24985.77599999996,47060.56800000003,38733.08520000001,4613.305760943808
100,FIFO,18275.986000000015,36659.60799999999,23268.231133333342,4036.0952061362987
100,LTP,34624.14800000002,48631.82999999999,41745.858200000024,3861.0228978440127
100,STP,28430.580000000013,47222.04200000004,39421.78033333335,4740.27436883206
100,RRFIFO,27071.81600000003,47782.89000000003,39949.5662,5069.816461485055
100,RRLTP,32012.212000000025,55286.73000000002,40741.83000000001,5170.823926543338
100,RRECA,24358.975999999977,47060.56800000003,38703.38320000001,4867.4109663828995
