job,operation,machine,start,end,duration,energy
1,1,4,0.0,6.4,6.4,4.0
1,5,3,6.4,10.0,3.5999999999999996,7.1
1,8,2,10.0,13.7,3.6999999999999993,5.9
1,12,3,13.7,16.5,2.8000000000000007,6.7
2,2,5,0.0,7.4,7.4,2.8
2,4,1,7.4,10.100000000000001,2.700000000000001,6.8
2,6,1,10.100000000000001,18.200000000000003,8.100000000000001,1.0
2,10,5,18.200000000000003,20.900000000000002,2.6999999999999993,7.2
2,14,3,20.900000000000002,29.1,8.2,2.8
3,3,4,6.4,9.3,2.9000000000000004,9.6
3,7,4,9.3,18.8,9.5,1.0
3,9,1,18.8,20.900000000000002,2.1000000000000014,10.0
3,11,5,20.900000000000002,27.300000000000004,6.400000000000002,4.6
3,13,2,27.300000000000004,30.700000000000003,3.3999999999999986,7.7
3,15,5,30.700000000000003,38.1,7.399999999999999,2.7
4,1,4,18.8,25.200000000000003,6.400000000000002,4.0
4,2,1,25.200000000000003,27.6,2.3999999999999986,10.0
4,3,3,29.1,37.6,8.5,3.1
4,4,5,38.1,41.7,3.6000000000000014,8.5
4,5,1,41.7,48.2,6.5,4.5
5,10,4,25.200000000000003,31.1,5.899999999999999,3.5
5,11,1,48.2,57.900000000000006,9.700000000000003,1.0
5,12,1,57.900000000000006,67.2,9.299999999999997,1.4
5,13,2,67.2,70.60000000000001,3.4000000000000057,7.7
5,14,2,70.60000000000001,72.9,2.299999999999997,7.7
5,15,1,72.9,80.9,8.0,1.1
6,5,4,31.1,35.4,4.299999999999997,4.8
6,10,5,41.7,44.400000000000006,2.700000000000003,7.2
6,15,4,44.400000000000006,52.7,8.299999999999997,1.0
7,2,3,37.6,46.400000000000006,8.800000000000004,1.5
7,8,4,52.7,59.900000000000006,7.200000000000003,5.0
7,14,3,59.900000000000006,68.10000000000001,8.200000000000003,2.8
8,1,2,72.9,82.5,9.599999999999994,2.5
8,6,4,82.5,88.8,6.299999999999997,4.7
8,11,2,88.8,96.8,8.0,4.3
9,3,5,44.400000000000006,47.00000000000001,2.6000000000000014,8.3
9,4,1,80.9,83.60000000000001,2.700000000000003,6.8
9,7,4,88.8,98.3,9.5,1.0
9,8,1,98.3,106.6,8.299999999999997,1.9
9,12,1,106.6,115.89999999999999,9.299999999999997,1.4
9,15,4,115.89999999999999,124.19999999999999,8.299999999999997,1.0
10,9,5,47.00000000000001,50.300000000000004,3.299999999999997,7.9
10,10,1,115.89999999999999,122.89999999999999,7.0,5.2
10,11,2,122.89999999999999,130.89999999999998,7.999999999999986,4.3
11,1,3,68.10000000000001,75.7,7.599999999999994,1.7
11,3,5,75.7,78.3,2.5999999999999943,8.3
11,5,5,78.3,83.39999999999999,5.099999999999994,4.3
11,7,5,83.39999999999999,93.1,9.700000000000003,1.0
11,9,3,93.1,94.39999999999999,1.2999999999999972,8.4
11,11,4,124.19999999999999,133.29999999999998,9.099999999999994,1.0
11,13,3,133.29999999999998,141.79999999999998,8.5,3.3
11,15,3,141.79999999999998,142.79999999999998,1.0,10.0
12,2,4,133.29999999999998,139.7,6.400000000000006,2.9
12,4,4,139.7,144.6,4.900000000000006,6.3
12,6,5,144.6,146.0,1.4000000000000057,10.0
12,8,1,146.0,154.3,8.300000000000011,1.9
12,10,1,154.3,161.3,7.0,5.2
12,12,3,161.3,164.10000000000002,2.8000000000000114,6.7
12,14,4,164.10000000000002,165.8,1.6999999999999886,8.5
