job,operation,machine,start,end,duration,energy
1,1,4,0.0,6.4,6.4,4.0
2,2,5,0.0,7.4,7.4,2.8
3,3,3,0.0,8.5,8.5,3.1
4,1,4,6.4,12.8,6.4,4.0
5,10,5,7.4,10.100000000000001,2.700000000000001,7.2
6,5,3,8.5,12.1,3.5999999999999996,7.1
7,2,4,12.8,19.200000000000003,6.400000000000002,2.9
8,1,5,10.100000000000001,12.500000000000002,2.4000000000000004,7.1
9,3,2,0.0,9.7,9.7,2.2
10,9,2,9.7,15.2,5.5,6.7
11,1,2,15.2,24.799999999999997,9.599999999999998,2.5
12,2,3,12.1,20.9,8.799999999999999,1.5
1,5,5,12.500000000000002,17.6,5.1,4.3
2,4,1,7.4,10.100000000000001,2.700000000000001,6.8
3,7,5,17.6,27.3,9.7,1.0
4,2,1,12.8,15.200000000000001,2.4000000000000004,10.0
5,11,4,19.200000000000003,28.300000000000004,9.100000000000001,1.0
6,10,3,20.9,26.599999999999998,5.699999999999999,4.6
7,8,5,27.3,32.3,4.9999999999999964,6.5
8,6,1,15.200000000000001,23.3,8.1,1.0
9,4,1,23.3,26.0,2.6999999999999993,6.8
10,10,4,28.300000000000004,34.2,5.899999999999999,3.5
11,3,3,26.599999999999998,35.099999999999994,8.499999999999996,3.1
12,4,3,35.099999999999994,40.8,5.700000000000003,6.3
1,8,1,26.0,34.3,8.299999999999997,1.9
2,6,1,34.3,42.4,8.100000000000001,1.0
3,9,4,34.2,43.400000000000006,9.200000000000003,3.4
4,3,3,40.8,49.3,8.5,3.1
5,12,1,42.4,51.7,9.300000000000004,1.4
6,15,3,49.3,50.3,1.0,10.0
7,14,5,32.3,42.199999999999996,9.899999999999999,1.0
8,11,2,24.799999999999997,32.8,8.0,4.3
9,7,1,51.7,58.2,6.5,3.5
10,11,4,43.400000000000006,52.50000000000001,9.100000000000001,1.0
11,5,4,52.50000000000001,56.800000000000004,4.299999999999997,4.8
12,6,2,40.8,43.599999999999994,2.799999999999997,8.7
1,12,2,43.599999999999994,45.39999999999999,1.7999999999999972,8.1
2,10,3,50.3,56.0,5.700000000000003,4.6
3,11,4,56.800000000000004,65.9,9.100000000000001,1.0
4,4,2,49.3,53.0,3.700000000000003,8.2
5,13,4,65.9,70.10000000000001,4.200000000000003,6.3
9,8,1,58.2,66.5,8.299999999999997,1.9
11,7,1,66.5,73.0,6.5,3.5
12,8,5,43.599999999999994,48.599999999999994,5.0,6.5
2,14,5,56.0,65.9,9.900000000000006,1.0
3,13,3,65.9,74.4,8.5,3.3
4,5,1,73.0,79.5,6.5,4.5
5,14,1,79.5,85.4,5.900000000000006,6.9
9,12,4,70.10000000000001,71.50000000000001,1.4000000000000057,9.0
11,9,2,73.0,78.5,5.5,6.7
12,10,5,65.9,68.60000000000001,2.700000000000003,7.2
3,15,5,74.4,81.80000000000001,7.400000000000006,2.7
5,15,4,85.4,93.7,8.299999999999997,1.0
9,15,2,78.5,81.3,2.799999999999997,8.6
11,11,5,81.80000000000001,88.20000000000002,6.400000000000006,4.6
12,12,4,93.7,95.10000000000001,1.4000000000000057,9.0
11,13,1,88.20000000000002,92.70000000000002,4.5,5.8
12,14,2,95.10000000000001,97.4,2.299999999999997,7.7
11,15,5,92.70000000000002,100.10000000000002,7.400000000000006,2.7
