job,operation,machine,start,end,duration,energy
3,1,3,0.0,2.5,2.5,3.5
6,1,1,0.0,3.5,3.5,1.2
2,1,1,3.5,7.0,3.5,1.2
1,2,3,2.5,10.1,7.6,6.6
5,2,2,0.0,4.2,4.2,1.5
4,4,2,4.2,9.5,5.3,3.3
3,2,2,9.5,13.7,4.199999999999999,1.5
6,2,2,13.7,17.9,4.199999999999999,1.5
2,3,4,7.0,13.7,6.699999999999999,1.7
1,4,1,10.1,14.899999999999999,4.799999999999999,7.8
5,4,2,17.9,23.2,5.300000000000001,3.3
4,5,4,13.7,17.3,3.6000000000000014,3.6
3,3,3,13.7,19.2,5.5,8.5
6,4,2,23.2,28.5,5.300000000000001,3.3
2,5,1,14.899999999999999,18.7,3.8000000000000007,1.9
1,5,4,17.3,20.900000000000002,3.6000000000000014,3.6
3,4,2,28.5,33.8,5.299999999999997,3.3
6,5,1,28.5,32.3,3.799999999999997,1.9
3,5,1,33.8,37.599999999999994,3.799999999999997,1.9
