job,operation,machine,start,end,duration,energy
1,5,1,0.0,3.8,3.8,1.9
2,5,3,0.0,4.2,4.2,7.5
3,5,1,3.8,7.6,3.8,1.9
4,5,1,7.6,11.399999999999999,3.799999999999999,1.9
6,5,4,0.0,3.6,3.6,3.6
1,4,1,11.399999999999999,16.2,4.800000000000001,7.8
3,4,4,7.6,12.3,4.700000000000001,9.7
4,4,2,11.399999999999999,16.7,5.300000000000001,3.3
5,4,2,16.7,22.0,5.300000000000001,3.3
6,4,2,22.0,27.3,5.300000000000001,3.3
2,1,3,4.2,6.7,2.5,3.5
3,1,1,16.2,19.7,3.5,1.2
6,1,1,27.3,30.8,3.5,1.2
2,3,4,12.3,19.0,6.699999999999999,1.7
3,3,4,19.7,26.4,6.699999999999999,1.7
1,2,4,26.4,35.4,9.0,3.5
3,2,2,27.3,31.5,4.199999999999999,1.5
5,2,2,31.5,35.7,4.200000000000003,1.5
6,2,1,30.8,36.3,5.4999999999999964,7.5
